@000 42 c3 c3 c3 c3 c3 c3 c3 c3 02 00 00 00 03 00 83 00 00 00 42 c3 c3 c3 c3 02 42 c3 c3 c3 c3 02
@040 03 04 04 05 04 04 04 04 04 83 00 00 00 03 00 83 00 00 00 03 04 04 04 05 83 03 04 04 04 04 83
@080 03 04 41 43 01 04 41 01 04 83 00 00 00 03 00 83 00 00 00 03 04 41 01 04 81 c1 04 41 01 04 83
@0c0 03 04 83 00 03 04 83 03 04 83 00 00 00 03 00 83 00 00 00 03 04 83 03 04 04 04 04 83 03 04 83
@100 03 04 83 00 03 04 83 03 04 83 00 00 00 03 00 83 00 00 00 03 04 83 82 43 43 01 04 83 03 04 83
@140 03 04 81 c3 c1 04 81 c1 04 81 c3 c3 c3 c1 00 81 c3 c3 c3 c1 04 81 c3 c3 c3 c1 04 83 03 04 83
@180 03 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 83 03 04 83
@1c0 03 04 41 43 01 04 41 43 43 43 43 43 43 01 00 41 43 43 43 01 04 41 01 04 41 43 43 c2 03 04 83
@200 03 04 83 00 03 04 81 c3 c3 02 42 c3 c3 c1 00 81 c3 c3 c3 c1 04 83 03 04 81 c3 c3 02 03 04 83
@240 03 04 83 00 03 04 04 04 04 83 03 00 00 00 00 00 00 00 00 00 04 83 03 04 04 04 04 83 03 04 83
@280 03 04 83 00 03 04 41 01 04 83 03 00 47 46 46 46 07 00 41 01 04 83 03 04 41 01 04 83 03 04 83
@2c0 03 04 81 c3 c1 04 83 03 04 81 c1 00 86 00 00 00 06 00 83 03 04 81 c1 04 83 03 04 81 c1 04 83
@300 03 04 04 04 04 04 83 03 04 00 00 00 86 00 00 00 06 00 83 03 04 04 04 04 83 03 04 04 04 04 83
@340 82 43 43 43 01 04 83 82 43 43 01 00 49 00 00 00 06 00 83 82 43 43 01 00 83 82 43 43 01 04 83
@380 42 c3 c3 c3 c1 04 83 42 c3 c3 c1 00 49 00 00 00 06 00 83 42 c3 c3 c1 00 83 42 c3 c3 c1 04 83
@3c0 03 04 04 04 04 04 83 03 04 00 00 00 86 00 00 00 06 00 83 03 04 04 04 04 83 03 04 04 04 04 83
@400 03 04 41 43 01 04 83 03 04 41 01 00 86 00 00 00 06 00 83 03 04 41 01 04 83 03 04 41 01 04 83
@440 03 04 83 00 03 04 81 c1 04 83 03 00 87 c6 c6 c6 c7 00 81 c1 04 83 03 04 81 c1 04 83 03 04 83
@480 03 04 83 00 03 04 04 04 04 83 03 00 00 00 00 00 00 00 00 00 04 83 03 04 04 04 04 83 03 04 83
@4c0 03 04 83 00 03 04 41 43 43 c2 82 43 43 01 00 41 43 43 43 01 04 83 03 04 41 43 43 c2 03 04 83
@500 03 04 81 c3 c1 04 81 c3 c3 c3 c3 c3 c3 c1 00 81 c3 c3 c3 c1 04 81 c1 04 81 c3 c3 02 03 04 83
@540 03 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 83 03 04 83
@580 03 04 41 43 01 04 41 01 04 41 43 43 43 01 00 41 43 43 43 01 04 41 43 43 43 01 04 83 03 04 83
@5c0 03 04 83 00 03 04 83 03 04 83 00 00 00 03 00 83 00 00 00 03 04 83 42 c3 c3 c1 04 83 03 04 83
@600 03 04 83 00 03 04 83 03 04 83 00 00 00 03 00 83 00 00 00 03 04 83 03 04 04 04 04 83 03 04 83
@640 03 04 81 c3 c1 04 81 c1 04 83 00 00 00 03 00 83 00 00 00 03 04 81 c1 04 41 01 04 81 c1 04 83
@680 03 04 04 05 04 04 04 04 04 83 00 00 00 03 00 83 00 00 00 03 04 04 04 05 83 03 04 04 04 04 83
@6c0 82 43 43 43 43 43 43 43 43 c2 00 00 00 03 00 83 00 00 00 82 43 43 43 43 c2 82 43 43 43 43 c2
